pick,pick,natural,natural
Dark Nova,Storm,169,452
Blizzard Strike,Darkness,272,49
Nightmare Curse,Storm,660,200
Thunder Crash,Ice,476,105
Frozen Prison,Darkness,184,484
Absolute Zero,Storm,173,943
Shadow Veil,Darkness,710,256
Tempest Fury,Darkness,689,712
Tempest Fury,Darkness,378,230
Thunderstorm,Storm,740,811
Hurricane Call,Ice,701,120
Lightning Bolt,Darkness,969,954
Shadow Veil,Ice,215,996
Thunder Crash,Storm,801,207
Glacial Spike,Ice,492,424
Shadow Veil,Ice,699,561
Void Strike,Ice,734,920
Blizzard Strike,Storm,235,840
Void Strike,Storm,220,914
Frozen Prison,Darkness,111,274
Thunderstorm,Darkness,367,415
Lightning Bolt,Storm,935,18
Thunder Crash,Darkness,490,901
Thunderstorm,Storm,512,869
Frozen Prison,Darkness,870,54
Blizzard Strike,Darkness,718,889
Hurricane Call,Ice,175,105
Nightmare Curse,Ice,647,46
Tempest Fury,Storm,631,324
Dark Nova,Ice,750,823
Hurricane Call,Storm,593,528
Ice Shard,Darkness,539,393
Shadow Veil,Ice,951,114
Blizzard Strike,Storm,308,766
Blizzard Strike,Darkness,884,6
Tempest Fury,Storm,17,755
Chain Lightning,Darkness,832,737
Shadow Veil,Ice,111,741
Infinite Darkness,Darkness,309,676
Blizzard Strike,Storm,455,237
Ice Age,Ice,911,711
Chain Lightning,Darkness,686,861
Thunder Crash,Darkness,550,579
Tempest Fury,Storm,746,917
Storm Surge,Storm,464,333
Shadow Veil,Ice,321,342
Chain Lightning,Darkness,62,569
Thunder Crash,Ice,879,961
Absolute Zero,Ice,866,921
Ice Shard,Storm,703,638
Abyssal Wrath,Darkness,820,925
Absolute Zero,Storm,432,719
Void Strike,Storm,816,635
Blizzard Strike,Storm,902,594
Ice Shard,Ice,546,867
Lightning Bolt,Darkness,94,805
Thunder Crash,Darkness,613,650
Void Strike,Storm,13,312
Dark Eclipse,Darkness,64,27
Infinite Darkness,Darkness,884,216
Abyssal Wrath,Darkness,863,450
Hurricane Call,Darkness,239,934
Lightning Bolt,Storm,285,99
Winter's Wrath,Darkness,425,407
Hurricane Call,Storm,472,904
Glacial Spike,Ice,545,950
Tempest Fury,Storm,820,131
Blizzard Strike,Ice,41,250
Frozen Prison,Darkness,688,102
Dark Nova,Storm,230,949
Dark Nova,Darkness,443,796
Nightmare Curse,Storm,785,762
Dark Eclipse,Darkness,799,38
Frozen Prison,Storm,911,902
Dark Eclipse,Storm,733,393
Absolute Zero,Ice,390,416
Dark Eclipse,Ice,472,210
Ice Age,Darkness,102,600
Frozen Prison,Darkness,928,825
Winter's Wrath,Storm,853,315
Shadow Veil,Storm,786,152
Dark Nova,Darkness,494,505
Tempest Fury,Ice,864,498
Thunderstorm,Storm,562,27
Storm Surge,Storm,465,893
Absolute Zero,Darkness,447,735
Absolute Zero,Darkness,336,300
Shadow Veil,Darkness,286,963
Tempest Fury,Darkness,179,549
Frozen Prison,Ice,581,861
Abyssal Wrath,Storm,242,414
Dark Eclipse,Darkness,335,126
Chain Lightning,Ice,697,125
Frozen Prison,Darkness,338,641
Lightning Bolt,Storm,68,856
Shadow Veil,Darkness,641,85
Frostbite,Ice,866,638
Nightmare Curse,Darkness,847,425
Frostbite,Ice,326,949
Ice Shard,Darkness,521,104
Infinite Darkness,Ice,970,811
Dark Nova,Darkness,108,126
Tempest Fury,Storm,210,672
Thunder Crash,Ice,586,176
Shadow Veil,Ice,884,120
Infinite Darkness,Ice,255,27
Tempest Fury,Darkness,299,655
Thunder Crash,Ice,877,830
Storm Surge,Ice,531,937
Dark Nova,Ice,245,845
Void Strike,Ice,3,999
Shadow Veil,Ice,756,175
Absolute Zero,Storm,783,679
Nightmare Curse,Storm,106,759
Ice Shard,Ice,76,957
Tempest Fury,Ice,930,948
Ice Shard,Ice,615,854
Shadow Veil,Storm,936,986
Thunderstorm,Darkness,260,690
Blizzard Strike,Ice,495,474
Thunderstorm,Storm,266,579
Thunderstorm,Ice,50,16
Blizzard Strike,Ice,596,121
Frozen Prison,Storm,52,626
Nightmare Curse,Darkness,822,753
Ice Age,Darkness,434,351
Thunderstorm,Ice,75,204
Dark Nova,Ice,924,557
Chain Lightning,Ice,131,245
Lightning Bolt,Storm,952,872
Abyssal Wrath,Darkness,78,698
Storm Surge,Ice,771,439
Thunderstorm,Storm,119,701
Frozen Prison,Storm,160,46
Storm Surge,Storm,155,551
Storm Surge,Ice,478,752
Abyssal Wrath,Ice,872,552
Dark Nova,Darkness,616,355
Thunderstorm,Ice,273,253
Void Strike,Storm,761,479
Blizzard Strike,Ice,392,155
Dark Nova,Darkness,813,640
Thunder Crash,Storm,65,954
Infinite Darkness,Darkness,156,208
Void Strike,Ice,333,563
Frostbite,Ice,965,358
Thunderstorm,Darkness,94,584
Dark Eclipse,Ice,98,769
Chain Lightning,Ice,590,137
Lightning Bolt,Darkness,23,683
Abyssal Wrath,Darkness,239,461
Tempest Fury,Storm,847,51
Absolute Zero,Darkness,970,583
Absolute Zero,Ice,885,126
Abyssal Wrath,Ice,202,573
Frozen Prison,Storm,42,942
Lightning Bolt,Ice,634,895
Lightning Bolt,Ice,260,839
Shadow Veil,Ice,657,280
Shadow Veil,Darkness,204,288
Ice Age,Ice,350,232
Ice Age,Storm,956,549
Dark Nova,Darkness,38,685
Void Strike,Storm,978,314
Dark Eclipse,Darkness,927,856
Frostbite,Ice,314,957
Thunderstorm,Ice,478,442
Thunderstorm,Darkness,394,71
Lightning Bolt,Storm,893,160
Thunder Crash,Darkness,840,922
Dark Nova,Darkness,168,555
Void Strike,Ice,879,756
Storm Surge,Storm,173,909
Void Strike,Darkness,440,619
Dark Nova,Ice,730,380
Thunder Crash,Ice,724,803
Frozen Prison,Darkness,221,390
Chain Lightning,Darkness,301,612
Chain Lightning,Darkness,789,114
Storm Surge,Ice,74,918
Winter's Wrath,Darkness,298,654
Hurricane Call,Storm,709,907
Dark Eclipse,Ice,111,304
Frostbite,Ice,874,494
Absolute Zero,Storm,373,961
Storm Surge,Ice,560,615
Dark Eclipse,Darkness,751,614
Dark Eclipse,Ice,249,551
Winter's Wrath,Storm,905,185
Infinite Darkness,Storm,591,55
Absolute Zero,Ice,534,880
Abyssal Wrath,Storm,496,998
Infinite Darkness,Ice,891,569
Infinite Darkness,Storm,548,993
Blizzard Strike,Storm,932,481
Lightning Bolt,Storm,157,524
Blizzard Strike,Storm,307,579
Hurricane Call,Storm,348,938
Abyssal Wrath,Ice,45,697
Thunderstorm,Ice,251,872
Ice Age,Storm,929,810
Storm Surge,Storm,684,518
Blizzard Strike,Ice,894,789
Tempest Fury,Ice,105,272
Glacial Spike,Storm,931,886
Infinite Darkness,Darkness,775,782
Void Strike,Storm,952,61
Frostbite,Darkness,330,276
Nightmare Curse,Darkness,58,566
Dark Eclipse,Ice,571,578
Hurricane Call,Darkness,900,855
Ice Age,Storm,321,399
Chain Lightning,Storm,468,585
Ice Age,Darkness,612,5
Winter's Wrath,Ice,82,94
Ice Shard,Ice,184,618
Frozen Prison,Ice,347,773
Winter's Wrath,Storm,561,320
Ice Age,Ice,584,561
Frozen Prison,Ice,520,441
Abyssal Wrath,Darkness,436,97
Blizzard Strike,Ice,170,322
Frozen Prison,Ice,58,585
Thunderstorm,Storm,829,587
Ice Shard,Ice,381,288
Dark Nova,Darkness,190,410
Nightmare Curse,Ice,989,28
Winter's Wrath,Ice,457,640
Dark Eclipse,Storm,163,66
Chain Lightning,Darkness,442,1000
Lightning Bolt,Darkness,443,552
Shadow Veil,Darkness,577,751
Blizzard Strike,Storm,145,894
Ice Age,Storm,326,520
Chain Lightning,Darkness,410,934
Shadow Veil,Ice,788,531
Dark Eclipse,Ice,893,223
Hurricane Call,Storm,405,456
Ice Age,Storm,893,823
Shadow Veil,Ice,370,194
Frozen Prison,Darkness,440,59
Storm Surge,Darkness,474,462
Thunderstorm,Ice,413,146
Ice Shard,Ice,250,92
Lightning Bolt,Storm,601,859
Tempest Fury,Ice,41,724
Chain Lightning,Darkness,459,692
Frozen Prison,Ice,428,865
Thunderstorm,Ice,895,408
Thunderstorm,Storm,495,61
Tempest Fury,Storm,139,203
Chain Lightning,Ice,738,423
Ice Shard,Darkness,335,683
Abyssal Wrath,Ice,919,297
Ice Shard,Ice,345,58
Lightning Bolt,Ice,368,131
Ice Age,Storm,988,236
Winter's Wrath,Darkness,414,981
Thunder Crash,Ice,859,79
Void Strike,Darkness,408,944
Frozen Prison,Ice,160,606
Absolute Zero,Darkness,231,974
Winter's Wrath,Darkness,59,939
Ice Age,Darkness,403,226
Chain Lightning,Ice,971,688
Hurricane Call,Ice,906,353
Tempest Fury,Storm,3,100
Storm Surge,Storm,163,547
Abyssal Wrath,Darkness,682,305
Ice Shard,Storm,735,576
Tempest Fury,Storm,528,391
Winter's Wrath,Storm,873,311
Thunder Crash,Darkness,796,787
Absolute Zero,Storm,952,827
Absolute Zero,Ice,0,568
Frostbite,Storm,565,72
Dark Nova,Ice,25,684
Ice Shard,Darkness,27,711
Glacial Spike,Storm,185,319
Abyssal Wrath,Storm,132,206
Tempest Fury,Darkness,271,135
Hurricane Call,Storm,882,198
Ice Shard,Ice,80,496
Storm Surge,Darkness,628,927
Storm Surge,Storm,2,127
Absolute Zero,Storm,359,272
Chain Lightning,Storm,243,545
Ice Age,Ice,655,195
Tempest Fury,Ice,292,146
Ice Age,Darkness,957,492
Absolute Zero,Ice,18,683
Nightmare Curse,Darkness,585,586
Hurricane Call,Storm,571,818
Void Strike,Darkness,600,180
Lightning Bolt,Darkness,367,632
Frostbite,Darkness,621,192
Dark Eclipse,Ice,742,211
Void Strike,Darkness,36,282
Hurricane Call,Storm,622,81
Shadow Veil,Storm,245,270
Dark Nova,Storm,665,985
Dark Eclipse,Darkness,696,23
Nightmare Curse,Storm,146,402
Absolute Zero,Darkness,64,452
Thunderstorm,Storm,894,655
Frozen Prison,Storm,18,822
Abyssal Wrath,Storm,11,530
Abyssal Wrath,Storm,927,324
Chain Lightning,Storm,420,280
Thunderstorm,Storm,939,296
Ice Shard,Ice,987,875
Ice Shard,Ice,749,336
Ice Shard,Darkness,39,963
Storm Surge,Storm,982,474
Infinite Darkness,Ice,176,441
Frozen Prison,Storm,731,917
Ice Age,Storm,694,886
Chain Lightning,Ice,592,950
Infinite Darkness,Ice,450,508
Void Strike,Storm,796,485
Glacial Spike,Darkness,945,742
Winter's Wrath,Ice,328,434
Frozen Prison,Storm,675,325
Dark Nova,Ice,958,170
Chain Lightning,Darkness,966,63
Blizzard Strike,Darkness,411,243
Shadow Veil,Darkness,653,904
Nightmare Curse,Ice,471,515
Void Strike,Darkness,928,348
Lightning Bolt,Ice,140,183
Lightning Bolt,Darkness,510,536
Abyssal Wrath,Storm,146,474
Dark Nova,Ice,118,364
Winter's Wrath,Storm,928,409
Dark Eclipse,Storm,923,564
Infinite Darkness,Ice,32,895
Dark Eclipse,Storm,580,641
Dark Eclipse,Ice,554,13
Void Strike,Darkness,923,921
Thunderstorm,Darkness,780,878
Ice Shard,Darkness,779,259
Hurricane Call,Ice,113,747
Lightning Bolt,Darkness,402,45
Nightmare Curse,Ice,125,730
Blizzard Strike,Storm,688,43
Lightning Bolt,Ice,359,619
Thunder Crash,Darkness,999,258
Thunderstorm,Darkness,589,581
Thunderstorm,Darkness,143,87
Glacial Spike,Darkness,500,854
Winter's Wrath,Darkness,643,885
Ice Age,Darkness,103,829
Thunder Crash,Darkness,854,902
Hurricane Call,Ice,578,864
Lightning Bolt,Storm,425,613
Hurricane Call,Darkness,96,282
Dark Eclipse,Storm,662,92
Dark Eclipse,Darkness,812,861
Frostbite,Storm,946,972
Glacial Spike,Storm,576,928
Chain Lightning,Darkness,751,450
Nightmare Curse,Storm,574,98
Shadow Veil,Ice,59,679
Shadow Veil,Darkness,892,646
Hurricane Call,Ice,683,792
Frozen Prison,Storm,773,496
Ice Shard,Ice,962,891
Lightning Bolt,Ice,608,64
Blizzard Strike,Darkness,464,147
Ice Age,Storm,47,170
Dark Nova,Darkness,304,362
Dark Eclipse,Ice,704,280
Shadow Veil,Storm,860,364
Blizzard Strike,Storm,647,308
Winter's Wrath,Storm,483,431
Chain Lightning,Ice,998,462
Thunder Crash,Darkness,187,870
Nightmare Curse,Darkness,301,951
Ice Age,Storm,344,739
Infinite Darkness,Storm,784,137
Winter's Wrath,Ice,52,496
Shadow Veil,Storm,581,507
Ice Shard,Ice,50,955
Thunderstorm,Storm,705,85
Hurricane Call,Darkness,417,914
Thunderstorm,Storm,766,919
Ice Shard,Ice,318,849
Dark Eclipse,Darkness,990,658
Ice Shard,Darkness,7,33
Shadow Veil,Darkness,603,457
Tempest Fury,Ice,999,706
Frostbite,Ice,754,189
Storm Surge,Storm,276,764
Frozen Prison,Darkness,132,112
Frozen Prison,Darkness,162,634
Nightmare Curse,Ice,629,257
Void Strike,Storm,935,737
Abyssal Wrath,Ice,349,319
Void Strike,Ice,413,981
Void Strike,Darkness,503,729
Glacial Spike,Darkness,565,456
Frostbite,Ice,837,28
Winter's Wrath,Ice,338,881
Frozen Prison,Storm,6,205
Thunder Crash,Ice,281,964
Lightning Bolt,Darkness,807,35
Thunder Crash,Ice,290,794
Dark Nova,Storm,850,121
Void Strike,Storm,179,225
Thunderstorm,Storm,322,245
Frostbite,Ice,486,539
Storm Surge,Storm,149,546
Tempest Fury,Darkness,22,440
Winter's Wrath,Darkness,917,787
Glacial Spike,Darkness,513,609
Lightning Bolt,Storm,49,640
Lightning Bolt,Darkness,195,179
Dark Nova,Darkness,816,992
Absolute Zero,Storm,41,741
Ice Shard,Ice,882,972
Shadow Veil,Ice,995,917
Winter's Wrath,Storm,365,650
Chain Lightning,Storm,555,563
Dark Eclipse,Storm,138,780
Nightmare Curse,Storm,895,529
Abyssal Wrath,Darkness,417,211
Infinite Darkness,Storm,191,285
Shadow Veil,Ice,260,229
Shadow Veil,Storm,76,910
Absolute Zero,Ice,324,282
Storm Surge,Storm,350,571
Dark Eclipse,Darkness,254,542
Ice Age,Ice,210,123
Frostbite,Ice,368,203
Ice Shard,Ice,719,0
Shadow Veil,Storm,644,162
Blizzard Strike,Darkness,98,301
Glacial Spike,Storm,622,303
Absolute Zero,Ice,912,220
Frozen Prison,Darkness,141,544
Chain Lightning,Ice,117,936
Thunderstorm,Ice,143,150
Tempest Fury,Storm,370,797
Void Strike,Ice,823,820
Thunder Crash,Ice,412,13
Lightning Bolt,Ice,716,343
Glacial Spike,Darkness,491,719
Blizzard Strike,Ice,290,262
Infinite Darkness,Ice,897,347
Dark Eclipse,Ice,798,140
Blizzard Strike,Ice,959,299
Abyssal Wrath,Storm,547,129
Absolute Zero,Storm,490,120
Lightning Bolt,Ice,995,42
Thunderstorm,Storm,616,734
Ice Age,Ice,555,18
Dark Eclipse,Darkness,294,514
Nightmare Curse,Ice,530,945
Thunderstorm,Ice,274,814
Dark Eclipse,Ice,823,692
Chain Lightning,Storm,142,502
Frozen Prison,Storm,51,97
Chain Lightning,Ice,491,46
Dark Eclipse,Storm,605,276
Void Strike,Storm,815,167
Dark Nova,Ice,976,226
Frostbite,Darkness,445,133
Shadow Veil,Darkness,18,92
Lightning Bolt,Ice,542,812
Nightmare Curse,Storm,133,639
Thunderstorm,Storm,850,968
Blizzard Strike,Ice,490,279
Dark Eclipse,Ice,455,234
Lightning Bolt,Ice,353,696
Tempest Fury,Ice,869,765
Dark Eclipse,Storm,505,865
Ice Shard,Darkness,616,351
Chain Lightning,Ice,529,580
Nightmare Curse,Ice,709,268
Lightning Bolt,Storm,843,960
Frostbite,Darkness,959,523
Absolute Zero,Ice,688,459
Hurricane Call,Darkness,984,618
Abyssal Wrath,Ice,169,260
Blizzard Strike,Ice,719,486
Nightmare Curse,Storm,473,782
Frozen Prison,Ice,676,377
Nightmare Curse,Ice,385,582
Shadow Veil,Storm,374,760
Tempest Fury,Ice,703,349
Void Strike,Darkness,724,434
Storm Surge,Darkness,90,571
Blizzard Strike,Darkness,405,532
Winter's Wrath,Ice,835,39
Frozen Prison,Ice,40,861
Storm Surge,Storm,7,86
Nightmare Curse,Darkness,348,686
Winter's Wrath,Ice,193,846
Ice Age,Storm,238,872
Shadow Veil,Ice,993,997
Lightning Bolt,Storm,892,255
Hurricane Call,Darkness,734,336
Thunderstorm,Ice,731,276
Nightmare Curse,Ice,54,801
Glacial Spike,Ice,727,983
Winter's Wrath,Storm,953,927
Blizzard Strike,Storm,32,672
Nightmare Curse,Darkness,641,280
Hurricane Call,Darkness,714,759
Thunderstorm,Storm,457,0
Abyssal Wrath,Ice,84,99
Absolute Zero,Storm,497,530
Thunderstorm,Darkness,74,634
Dark Nova,Ice,855,496
Ice Age,Storm,679,516
Void Strike,Darkness,762,565
Nightmare Curse,Darkness,26,566
Thunder Crash,Darkness,984,618
Winter's Wrath,Darkness,953,139
Blizzard Strike,Darkness,573,922
Frozen Prison,Darkness,312,727
Thunderstorm,Ice,278,152
Ice Age,Darkness,816,594
Ice Age,Ice,692,587
Tempest Fury,Darkness,176,426
Tempest Fury,Darkness,948,269
Thunder Crash,Ice,707,378
Chain Lightning,Ice,842,231
Nightmare Curse,Ice,694,204
Glacial Spike,Darkness,814,839
Ice Shard,Ice,516,190
Frozen Prison,Ice,654,602
Void Strike,Storm,578,440
Winter's Wrath,Storm,665,856
Dark Eclipse,Storm,998,816
Abyssal Wrath,Darkness,168,492
Ice Shard,Ice,320,453
Infinite Darkness,Darkness,672,596
Tempest Fury,Ice,817,747
Dark Eclipse,Ice,30,442
Frostbite,Ice,144,43
Shadow Veil,Storm,536,524
Tempest Fury,Darkness,904,386
Tempest Fury,Storm,117,100
Thunderstorm,Darkness,862,297
Blizzard Strike,Darkness,611,36
Void Strike,Darkness,81,171
Nightmare Curse,Ice,772,213
Infinite Darkness,Darkness,339,922
Winter's Wrath,Storm,122,805
Ice Shard,Ice,822,694
Storm Surge,Darkness,678,545
Ice Age,Ice,149,577
Absolute Zero,Ice,586,691
Glacial Spike,Darkness,131,309
Blizzard Strike,Storm,995,221
Void Strike,Storm,755,3
Storm Surge,Ice,490,485
Ice Shard,Ice,536,351
Chain Lightning,Ice,848,38
Thunder Crash,Storm,470,291
Storm Surge,Darkness,458,355
Tempest Fury,Ice,218,429
Tempest Fury,Darkness,478,88
Infinite Darkness,Ice,899,968
Abyssal Wrath,Storm,314,566
Frozen Prison,Storm,490,768
Absolute Zero,Storm,711,35
Infinite Darkness,Storm,650,119
Storm Surge,Ice,658,35
Nightmare Curse,Ice,171,12
Dark Nova,Darkness,870,448
Storm Surge,Ice,682,529
Lightning Bolt,Storm,897,849
Frozen Prison,Ice,478,686
Winter's Wrath,Storm,887,661
Shadow Veil,Ice,536,239
Absolute Zero,Storm,745,129
Frostbite,Storm,594,763
Void Strike,Ice,117,221
Winter's Wrath,Storm,545,353
Nightmare Curse,Ice,611,159
Tempest Fury,Ice,859,809
Nightmare Curse,Darkness,896,108
Frostbite,Darkness,798,479
Tempest Fury,Storm,700,419
Ice Age,Ice,718,939
Frozen Prison,Storm,452,360
Ice Age,Darkness,466,389
Thunderstorm,Darkness,934,776
Absolute Zero,Darkness,210,855
Storm Surge,Darkness,802,117
Thunderstorm,Storm,39,306
Abyssal Wrath,Ice,201,33
Dark Nova,Darkness,345,7
Abyssal Wrath,Ice,982,359
Lightning Bolt,Storm,922,997
Infinite Darkness,Darkness,707,312
Shadow Veil,Ice,509,854
Blizzard Strike,Darkness,906,617
Lightning Bolt,Darkness,101,291
Void Strike,Darkness,591,58
Storm Surge,Darkness,652,766
Absolute Zero,Storm,928,734
Glacial Spike,Darkness,980,70
Tempest Fury,Darkness,949,622
Glacial Spike,Darkness,318,932
Dark Nova,Darkness,530,813
Shadow Veil,Ice,170,6
Winter's Wrath,Storm,984,999
Dark Eclipse,Ice,724,159
Ice Shard,Darkness,483,409
Frostbite,Ice,977,872
Glacial Spike,Darkness,45,967
Void Strike,Ice,269,958
Nightmare Curse,Storm,920,899
Glacial Spike,Ice,629,860
Dark Nova,Ice,980,130
Frozen Prison,Storm,750,581
Frozen Prison,Darkness,760,797
Frostbite,Darkness,89,372
Ice Age,Storm,352,636
Infinite Darkness,Darkness,908,972
Frostbite,Ice,640,925
Nightmare Curse,Darkness,905,618
Ice Shard,Storm,836,785
Blizzard Strike,Darkness,202,582
Frostbite,Ice,795,970
Dark Eclipse,Darkness,787,277
Shadow Veil,Ice,610,295
Ice Shard,Ice,753,509
Frozen Prison,Storm,885,720
Ice Shard,Ice,72,979
Ice Shard,Darkness,706,860
Ice Shard,Ice,274,593
Ice Shard,Ice,634,287
Infinite Darkness,Darkness,372,956
Dark Eclipse,Darkness,699,854
Lightning Bolt,Storm,939,665
Dark Nova,Darkness,424,542
Frozen Prison,Storm,701,222
Infinite Darkness,Storm,649,51
Ice Age,Ice,435,944
Blizzard Strike,Darkness,928,608
Dark Nova,Storm,69,419
Frostbite,Darkness,23,286
Shadow Veil,Ice,2,687
Ice Shard,Ice,912,481
Lightning Bolt,Ice,463,45
Shadow Veil,Storm,219,125
Winter's Wrath,Storm,99,168
Frostbite,Darkness,925,643
Chain Lightning,Darkness,587,434
Ice Shard,Ice,155,985
Shadow Veil,Ice,209,903
Chain Lightning,Darkness,121,161
Winter's Wrath,Ice,67,468
Storm Surge,Darkness,589,813
Dark Eclipse,Darkness,449,286
Thunder Crash,Darkness,566,136
Blizzard Strike,Ice,780,667
Dark Eclipse,Darkness,826,832
Winter's Wrath,Darkness,569,797
Void Strike,Storm,678,274
Hurricane Call,Ice,634,189
Frozen Prison,Ice,278,547
Frostbite,Ice,890,531
Lightning Bolt,Darkness,580,74
Frostbite,Ice,864,984
Absolute Zero,Darkness,263,710
Void Strike,Ice,479,944
Thunderstorm,Storm,337,355
Void Strike,Ice,247,769
Void Strike,Ice,141,964
Shadow Veil,Storm,142,427
Nightmare Curse,Ice,215,360
Glacial Spike,Ice,633,38
Chain Lightning,Ice,887,716
Ice Age,Ice,592,893
Absolute Zero,Darkness,842,983
Chain Lightning,Storm,981,899
Frostbite,Ice,995,667
Blizzard Strike,Storm,422,351
Void Strike,Storm,473,415
Absolute Zero,Storm,140,801
Frozen Prison,Darkness,375,12
Ice Shard,Darkness,377,309
Glacial Spike,Ice,925,669
Dark Nova,Storm,942,959
Nightmare Curse,Storm,618,761
Ice Shard,Darkness,444,769
Blizzard Strike,Darkness,494,628
Void Strike,Ice,340,576
Nightmare Curse,Storm,271,247
Ice Shard,Ice,835,239
Glacial Spike,Ice,452,704
Shadow Veil,Storm,40,5
Ice Shard,Darkness,818,403
Thunder Crash,Darkness,698,212
Blizzard Strike,Ice,519,323
Hurricane Call,Darkness,70,954
Ice Shard,Ice,534,927
Infinite Darkness,Ice,925,182
Frostbite,Ice,359,900
Glacial Spike,Darkness,735,612
Frostbite,Ice,181,511
Storm Surge,Darkness,844,73
Shadow Veil,Darkness,971,554
Ice Shard,Storm,716,878
Glacial Spike,Storm,902,405
Lightning Bolt,Ice,566,610
Chain Lightning,Darkness,328,982
Infinite Darkness,Darkness,991,704
Ice Age,Storm,591,318
Infinite Darkness,Storm,711,490
Ice Age,Darkness,197,319
Frozen Prison,Ice,757,2
Ice Shard,Storm,951,292
Thunder Crash,Storm,118,336
Ice Shard,Darkness,653,503
Dark Nova,Storm,793,367
Thunder Crash,Ice,315,391
Absolute Zero,Darkness,370,583
Blizzard Strike,Ice,336,910
Chain Lightning,Storm,147,224
Blizzard Strike,Storm,20,421
Hurricane Call,Storm,354,33
Chain Lightning,Darkness,505,466
Frozen Prison,Ice,94,617
Frozen Prison,Ice,886,842
Ice Age,Storm,447,86
Shadow Veil,Darkness,616,126
Storm Surge,Ice,560,526
Thunder Crash,Storm,512,765
Hurricane Call,Ice,344,859
Shadow Veil,Storm,249,909
Nightmare Curse,Storm,442,129
Glacial Spike,Storm,257,102
Hurricane Call,Storm,98,174
Frozen Prison,Darkness,133,161
Abyssal Wrath,Storm,934,95
Shadow Veil,Darkness,574,615
Frostbite,Darkness,374,171
Thunder Crash,Ice,762,45
Chain Lightning,Darkness,476,415
Tempest Fury,Storm,755,869
Thunderstorm,Ice,979,714
Dark Eclipse,Storm,969,332
Winter's Wrath,Darkness,951,141
Nightmare Curse,Ice,65,271
Frostbite,Darkness,579,239
Storm Surge,Darkness,854,211
Frozen Prison,Darkness,22,882
Frostbite,Storm,520,433
Winter's Wrath,Darkness,962,1000
Infinite Darkness,Ice,481,444
Storm Surge,Storm,385,809
Storm Surge,Storm,996,726
Blizzard Strike,Storm,426,900
Dark Nova,Ice,865,984
Chain Lightning,Darkness,380,441
Abyssal Wrath,Darkness,969,275
Absolute Zero,Darkness,149,613
Absolute Zero,Darkness,739,41
Winter's Wrath,Storm,392,361
Dark Nova,Storm,399,681
Ice Shard,Storm,808,45
Chain Lightning,Darkness,86,41
Storm Surge,Storm,718,909
Absolute Zero,Darkness,545,586
Dark Nova,Ice,629,230
Ice Shard,Ice,355,728
Ice Shard,Storm,85,871
Dark Nova,Darkness,120,759
Dark Nova,Darkness,425,754
Chain Lightning,Darkness,217,763
Storm Surge,Storm,884,824
Nightmare Curse,Ice,30,484
Ice Age,Ice,64,892
Infinite Darkness,Ice,827,191
Void Strike,Ice,948,174
Nightmare Curse,Storm,173,222
Frozen Prison,Storm,8,474
Ice Shard,Storm,502,134
Blizzard Strike,Storm,358,64
Dark Nova,Storm,425,679
Ice Age,Darkness,858,966
Nightmare Curse,Storm,336,452
Absolute Zero,Darkness,796,618
Frozen Prison,Storm,403,739
Chain Lightning,Storm,756,120
Hurricane Call,Ice,165,555
Infinite Darkness,Darkness,40,549
Dark Eclipse,Darkness,861,742
Absolute Zero,Storm,678,739
Blizzard Strike,Darkness,981,307
Chain Lightning,Darkness,981,408
Hurricane Call,Storm,519,161
Abyssal Wrath,Storm,958,224
Frozen Prison,Darkness,387,852
Lightning Bolt,Darkness,295,624
Frozen Prison,Storm,763,653
Thunderstorm,Darkness,680,164
Infinite Darkness,Darkness,334,428
Abyssal Wrath,Storm,645,190
Lightning Bolt,Storm,649,167
Storm Surge,Ice,927,348
Thunderstorm,Ice,943,955
Blizzard Strike,Ice,226,663
Ice Shard,Darkness,7,885
Hurricane Call,Darkness,913,844
Ice Shard,Ice,619,27
Ice Age,Darkness,126,280
Glacial Spike,Storm,326,463
Shadow Veil,Ice,120,146
Absolute Zero,Darkness,60,981
Shadow Veil,Darkness,852,859
Glacial Spike,Storm,488,722
Tempest Fury,Ice,582,982
Ice Shard,Storm,378,116
Hurricane Call,Darkness,149,165
Void Strike,Ice,225,436
Abyssal Wrath,Darkness,392,960
Blizzard Strike,Darkness,5,529
Chain Lightning,Darkness,437,258
Ice Age,Storm,448,711
Winter's Wrath,Storm,804,775
Dark Nova,Ice,333,803
Lightning Bolt,Darkness,936,783
Frozen Prison,Darkness,191,869
Thunderstorm,Darkness,181,611
Frozen Prison,Storm,532,904
Thunderstorm,Ice,895,663
Absolute Zero,Storm,428,468
Dark Eclipse,Darkness,189,963
Infinite Darkness,Ice,812,745
Shadow Veil,Ice,913,482
Thunder Crash,Ice,512,899
Storm Surge,Storm,741,328
Nightmare Curse,Storm,307,874
Ice Age,Ice,106,649
Thunder Crash,Ice,638,609
Abyssal Wrath,Ice,763,153
Ice Shard,Darkness,470,410
Absolute Zero,Ice,468,321
Chain Lightning,Ice,222,54
Chain Lightning,Ice,903,773
Dark Nova,Darkness,985,22
Ice Shard,Ice,772,146
Nightmare Curse,Ice,307,425
Infinite Darkness,Darkness,935,980
Void Strike,Darkness,977,444
Storm Surge,Storm,749,130
Void Strike,Darkness,235,795
Glacial Spike,Storm,901,518
Shadow Veil,Ice,283,750
Lightning Bolt,Storm,555,24
Lightning Bolt,Ice,131,25
Hurricane Call,Storm,353,740
Shadow Veil,Ice,39,831
